case_id,storm_id,init_time,forecast_hours,output_interval_hours,name,basin
2022285N17140-CE01-L096,2022285N17140,2022-10-12T00:00:00Z,96,6,NESAT,WP
2022285N17140-CE01-L120,2022285N17140,2022-10-11T00:00:00Z,120,6,NESAT,WP
2022285N17140-CE02-L024,2022285N17140,2022-10-17T12:00:00Z,30,6,NESAT,WP
2022285N17140-CE02-L048,2022285N17140,2022-10-16T12:00:00Z,54,6,NESAT,WP
2022285N17140-CE02-L072,2022285N17140,2022-10-15T12:00:00Z,78,6,NESAT,WP
2022285N17140-CE02-L096,2022285N17140,2022-10-14T12:00:00Z,102,6,NESAT,WP
2022285N17140-CE02-L120,2022285N17140,2022-10-13T12:00:00Z,126,6,NESAT,WP
2022293N15259-CE01-L024,2022293N15259,2022-10-22T12:00:00Z,24,6,ROSLYN,EP
2022293N15259-CE01-L048,2022293N15259,2022-10-21T12:00:00Z,48,6,ROSLYN,EP
2022293N15259-CE01-L072,2022293N15259,2022-10-20T12:00:00Z,72,6,ROSLYN,EP
2022293N15259-CE01-L096,2022293N15259,2022-10-19T12:00:00Z,96,6,ROSLYN,EP
2022293N15259-CE01-L120,2022293N15259,2022-10-18T12:00:00Z,120,6,ROSLYN,EP
2022304N16287-CE01-L024,2022304N16287,2022-11-01T18:00:00Z,30,6,LISA,NA
2022304N16287-CE01-L048,2022304N16287,2022-10-31T18:00:00Z,54,6,LISA,NA
2022304N16287-CE01-L072,2022304N16287,2022-10-30T18:00:00Z,78,6,LISA,NA
2022304N16287-CE01-L096,2022304N16287,2022-10-29T18:00:00Z,102,6,LISA,NA
2022304N16287-CE01-L120,2022304N16287,2022-10-28T18:00:00Z,126,6,LISA,NA
2022299N11134-CE01-L024,2022299N11134,2022-11-02T00:00:00Z,24,6,NALGAE,WP
2022299N11134-CE01-L048,2022299N11134,2022-11-01T00:00:00Z,48,6,NALGAE,WP
2022299N11134-CE01-L072,2022299N11134,2022-10-31T00:00:00Z,72,6,NALGAE,WP
